,energy,epe
460,341.13504,11.004468
461,340.9739,11.003591
462,340.68747,11.023143
463,340.47174,10.986899
464,340.34238,11.017908
465,340.39117,11.000925
466,340.37128,10.9947815
467,340.1067,11.013427
468,340.0103,10.993386
469,339.9717,11.003668
470,339.9328,10.999084
471,339.76318,10.993211
472,339.6885,11.003862
473,339.6506,10.988714
474,339.65924,11.001844
475,339.57602,10.995819
476,339.56696,10.99195
477,339.61234,10.996996
478,339.59225,10.997202
479,339.65298,10.988013
480,339.44092,10.997195
481,339.55203,10.987976
482,339.52972,10.992418
483,339.4355,10.990662
484,339.5376,10.998473
485,339.49643,10.978211
486,339.70648,11.007712
487,339.49707,10.985094
488,339.4931,10.981576
489,339.5309,10.996648
490,340.03323,11.008852
491,339.82907,10.959429
492,340.1485,11.015318
493,340.1252,10.996455
494,340.23633,10.981688
495,339.94614,10.982805
496,339.82837,11.016615
497,339.69797,10.9559145
498,339.3644,11.016208
499,339.29303,10.973836
500,339.1434,10.991384
501,339.04303,10.988683
502,339.03656,10.974751
503,338.8893,10.992295
504,338.81052,10.980216
505,338.7776,10.980261
506,338.70215,10.987101
507,338.63095,10.977309
508,338.53253,10.979567
509,338.50897,10.98268
510,338.47028,10.973765
511,338.44083,10.983214
512,338.44702,10.97202
513,338.43338,10.985138
514,338.357,10.969886
515,338.50882,10.98024
516,338.3584,10.97925
517,338.53366,10.977553
518,338.47208,10.964456
519,338.57883,10.994101
520,338.70767,10.966973
521,338.62128,10.96953
522,338.51807,10.985609
523,338.90234,10.982877
524,338.58926,10.95266
525,338.41083,10.996721
526,338.73383,10.968759
527,338.40237,10.968587
528,338.13663,10.979203
529,338.1707,10.969734
530,338.0879,10.973716
531,338.00082,10.973378
532,337.97443,10.963448
533,337.90945,10.981759
534,337.86258,10.958409
535,337.8606,10.976591
536,337.82544,10.968726
537,337.77783,10.961243
538,337.73788,10.977408
539,337.796,10.962743
540,337.7829,10.966478
541,337.74707,10.972831
542,337.79547,10.962692
543,337.69363,10.970918
544,337.7585,10.968168
545,337.66965,10.953676
546,337.6984,10.983665
547,337.7668,10.955361
548,337.74875,10.965407
549,337.72186,10.969951
550,337.69058,10.96553
551,337.59418,10.958182
552,337.6027,10.968172
553,337.51767,10.962852
554,337.63373,10.968944
555,337.55197,10.952317
556,337.47745,10.972372
557,337.6555,10.961573
558,337.45966,10.959673
559,337.55817,10.960664
560,337.5996,10.970572
561,337.43915,10.950664
562,337.49194,10.972288
563,337.4061,10.950587
564,337.49387,10.970647
565,337.49722,10.959892
566,337.30844,10.955076
567,337.46402,10.962989
568,337.4144,10.971658
569,337.44653,10.939614
